Dist    Strength    Reserved    TS          
5669    537         0           15:43:52.480   
5669    535         0           15:43:52.492   
5669    540         0           15:43:52.492   
5670    534         0           15:43:52.510   
5669    532         0           15:43:52.522   
5669    532         0           15:43:52.522   
5670    549         0           15:43:52.540   
5670    544         0           15:43:52.558   
5670    535         0           15:43:52.558   
5670    549         0           15:43:52.570   
5670    533         0           15:43:52.582   
5670    525         0           15:43:52.582   
5670    542         0           15:43:52.600   
5670    543         0           15:43:52.612   
5670    545         0           15:43:52.612   
5670    533         0           15:43:52.630   
5670    539         0           15:43:52.642   
5669    531         0           15:43:52.642   
5669    531         0           15:43:52.660   
5669    530         0           15:43:52.672   
5669    535         0           15:43:52.672   
5669    534         0           15:43:52.690   
5669    536         0           15:43:52.702   
5669    528         0           15:43:52.702   
5669    536         0           15:43:52.719   
5669    548         0           15:43:52.732   
5669    531         0           15:43:52.732   
5670    536         0           15:43:52.750   
5669    535         0           15:43:52.762   
5670    540         0           15:43:52.762   
5669    532         0           15:43:52.780   
5669    539         0           15:43:52.792   
5669    530         0           15:43:52.792   
5669    538         0           15:43:52.809   
5669    537         0           15:43:52.822   
5669    528         0           15:43:52.822   
5669    531         0           15:43:52.845   
5670    530         0           15:43:52.845   
5670    536         0           15:43:52.857   
5670    539         0           15:43:52.870   
5670    524         0           15:43:52.882   
5670    533         0           15:43:52.882   
5670    530         0           15:43:52.899   
5670    526         0           15:43:52.912   
5670    529         0           15:43:52.912   
5669    534         0           15:43:52.935   
5669    538         0           15:43:52.936   
5669    538         0           15:43:52.947   
5669    533         0           15:43:52.959   
5669    534         0           15:43:52.971   
5670    540         0           15:43:52.972   
5669    531         0           15:43:52.989   
5670    533         0           15:43:53.1     
5670    526         0           15:43:53.1     
5670    533         0           15:43:53.19    
5670    539         0           15:43:53.37    
5670    543         0           15:43:53.37    
5670    535         0           15:43:53.49    
5670    534         0           15:43:53.61    
5670    525         0           15:43:53.61    
5670    533         0           15:43:53.79    
5670    533         0           15:43:53.91    
5670    530         0           15:43:53.91    
5669    532         0           15:43:53.109   
5669    526         0           15:43:53.127   
5669    530         0           15:43:53.127   
5669    532         0           15:43:53.139   
5669    540         0           15:43:53.151   
5669    530         0           15:43:53.151   
5669    523         0           15:43:53.169   
5669    541         0           15:43:53.182   
5669    537         0           15:43:53.182   
5669    530         0           15:43:53.199   
5669    525         0           15:43:53.217   
5669    548         0           15:43:53.217   
5669    531         0           15:43:53.229   
5669    526         0           15:43:53.241   
5669    522         0           15:43:53.241   
5669    523         0           15:43:53.259   
5669    533         0           15:43:53.271   
5669    526         0           15:43:53.272   
5669    535         0           15:43:53.289   
5669    528         0           15:43:53.301   
5669    532         0           15:43:53.301   
5669    532         0           15:43:53.319   
5669    533         0           15:43:53.331   
5669    522         0           15:43:53.331   
5669    526         0           15:43:53.349   
5669    537         0           15:43:53.361   
5669    538         0           15:43:53.361   
5670    536         0           15:43:53.379   
5670    533         0           15:43:53.391   
5670    545         0           15:43:53.391   
5670    537         0           15:43:53.415   
5669    520         0           15:43:53.415   
5669    533         0           15:43:53.427   
5670    532         0           15:43:53.439   
5670    535         0           15:43:53.451   
5670    539         0           15:43:53.451   
5670    549         0           15:43:53.469   
5669    536         0           15:43:53.481   
5669    547         0           15:43:53.481   
5669    540         0           15:43:53.505   
5669    542         0           15:43:53.505   
5669    533         0           15:43:53.517   
5669    534         0           15:43:53.530   
5669    525         0           15:43:53.542   
5669    530         0           15:43:53.542   
5669    526         0           15:43:53.560   
5669    533         0           15:43:53.572   
5669    529         0           15:43:53.572   
5669    538         0           15:43:53.596   
5669    538         0           15:43:53.596   
5669    536         0           15:43:53.608   
5669    532         0           15:43:53.620   
5669    526         0           15:43:53.632   
5669    542         0           15:43:53.632   
5670    547         0           15:43:53.650   
5669    531         0           15:43:53.662   
5669    532         0           15:43:53.662   
5670    543         0           15:43:53.680   
5670    523         0           15:43:53.698   
5670    531         0           15:43:53.698   
5670    538         0           15:43:53.710   
5670    545         0           15:43:53.722   
5670    540         0           15:43:53.722   
5670    529         0           15:43:53.740   
5670    535         0           15:43:53.752   
5670    527         0           15:43:53.752   
5670    534         0           15:43:53.770   
5670    534         0           15:43:53.788   
5670    545         0           15:43:53.788   
5670    544         0           15:43:53.800   
5670    536         0           15:43:53.812   
5670    544         0           15:43:53.812   
5670    531         0           15:43:53.830   
5670    537         0           15:43:53.842   
5670    532         0           15:43:53.842   
5670    533         0           15:43:53.860   
5670    537         0           15:43:53.878   
5670    532         0           15:43:53.878   
5669    538         0           15:43:53.890   
5669    538         0           15:43:53.902   
5669    536         0           15:43:53.902   
5669    535         0           15:43:53.920   
5669    531         0           15:43:53.932   
5669    530         0           15:43:53.932   
5669    539         0           15:43:53.950   
5669    533         0           15:43:53.962   
5669    538         0           15:43:53.962   
5669    528         0           15:43:53.982   
5669    538         0           15:43:53.996   
5669    532         0           15:43:53.996   
5669    535         0           15:43:54.10    
5669    525         0           15:43:54.19    
5669    525         0           15:43:54.31    
5669    529         0           15:43:54.31    
5669    525         0           15:43:54.49    
5669    534         0           15:43:54.67    
5670    529         0           15:43:54.67    
5670    542         0           15:43:54.79    
5670    533         0           15:43:54.91    
5670    530         0           15:43:54.91    
5670    534         0           15:43:54.109   
5670    534         0           15:43:54.121   
5670    527         0           15:43:54.121   
5670    533         0           15:43:54.139   
5669    535         0           15:43:54.151   
5669    536         0           15:43:54.151   
5669    533         0           15:43:54.169   
5669    532         0           15:43:54.181   
5670    543         0           15:43:54.181   
5670    533         0           15:43:54.199   
5670    540         0           15:43:54.211   
5670    542         0           15:43:54.211   
5670    538         0           15:43:54.229   
5670    536         0           15:43:54.241   
5670    534         0           15:43:54.241   
5669    539         0           15:43:54.259   
5669    519         0           15:43:54.271   
5669    532         0           15:43:54.271   
5669    538         0           15:43:54.289   
5669    525         0           15:43:54.301   
5669    527         0           15:43:54.301   
5669    526         0           15:43:54.319   
5669    537         0           15:43:54.331   
5669    526         0           15:43:54.331   
5669    534         0           15:43:54.354   
5669    532         0           15:43:54.354   
5669    530         0           15:43:54.366   
5669    534         0           15:43:54.379   
5669    537         0           15:43:54.393   
5670    541         0           15:43:54.393   
5670    545         0           15:43:54.408   
5670    536         0           15:43:54.420   
5670    537         0           15:43:54.420   
5670    533         0           15:43:54.444   
5670    540         0           15:43:54.444   
5669    525         0           15:43:54.456   
5670    529         0           15:43:54.468   
5670    532         0           15:43:54.481   
5670    540         0           15:43:54.481   
5670    534         0           15:43:54.499   
5669    537         0           15:43:54.511   
5669    542         0           15:43:54.511   
5669    540         0           15:43:54.529   
5669    537         0           15:43:54.547   
5669    535         0           15:43:54.547   
5669    532         0           15:43:54.559   
5669    532         0           15:43:54.571   
